id,cable_id,description,name,color,cost (millions),Lit,Max,coordinates,length,rfs,year,owners,url
flag-north-asia-loopreach-north-asia-loop,1150,"[{""landing_point_id"":4183,""latlon"":""35.170110,128.999335"",""name"":""Pusan, Korea, Rep.""},{""landing_point_id"":5855,""latlon"":""22.227343,113.932154"",""name"":""Tong Fuk, Hong Kong""},{""landing_point_id"":5981,""latlon"":""24.863572,121.801486"",""name"":""Toucheng, Taiwan""},{""landing_point_id"":5892,""latlon"":""35.035833,140.016712"",""name"":""Wada, Japan""}]",FLAG North Asia Loop/REACH North Asia Loop,#895c3c,,,,"<MultiGeometry><LineString><coordinates>118.228017825257,20.2813611013474,0 113.932024774829,22.227654846051,0 118.409267696858,21.1924532088446,0 123.218932258396,20.5115676055012,0 124.594810189961,23.5523652409562,0 121.801452793802,24.8635042542553,0 129.659064414896,22.3015818456716,0 143.211300908115,31.2341475560798,0 140.016771921149,35.0359996328908,0 141.359153782693,31.3196143206102,0 135.55974382855,29.359037340269,0 129.95144702027,30.3701045420757,0 128.999494569642,35.1703816994832,0 129.187287405357,22.2477220240554,0 124.862192813045,19.1957350840483,0 118.228017825257,20.2813611013474,0</coordinates></LineString></MultiGeometry>","9,504 km",1-Jun,2001,"Global Cloud Xchange,  PCCW,  Telstra",
flores-corvo-cable-system,1782,"[{""landing_point_id"":14657,""latlon"":""39.671963,-31.110550"",""name"":""Corvo, Portugal""},{""landing_point_id"":14659,""latlon"":""38.525089,-28.647563"",""name"":""Faial, Portugal""},{""landing_point_id"":14656,""latlon"":""39.462198,-31.128519"",""name"":""Flores, Portugal""},{""landing_point_id"":14658,""latlon"":""39.011026,-27.963481"",""name"":""Graciosa, Portugal""}]",Flores-Corvo Cable System,#f04230,,,,"<MultiGeometry><LineString><coordinates>-28.6475128923642,38.5254052896741,0 -28.6475128923642,38.440551822847,0 -29.7276390803176,38.440551822847,0 -30.858399998026,39.4625133329949,0 -31.1284193379918,39.4625133329949,0 -31.0817396835601,39.5651249174357,0 -31.1104994288114,39.6722453890638,0 -28.5034700256555,38.9270554316037,0 -27.9633825176335,38.9270554316037,0 -27.9633825176335,39.0114093086667,0</coordinates></LineString></MultiGeometry>",685 km,14-Jan,2014,Viatel,http://www.viatel.pt
fos-quellon-chacabuco,1805,"[{""landing_point_id"":14844,""latlon"":""-45.458269,-72.805110"",""name"":""Puerto Chacabuco, Chile""},{""landing_point_id"":14843,""latlon"":""-43.117450,-73.479475"",""name"":""Quellon, Chile""}]",FOS Quellon-Chacabuco,#0982c5,,,,"<MultiGeometry><LineString><coordinates>-73.4794635548647,-43.1174736108711,0 -73.5099811113708,-44.1216159183234,0 -73.5707232558405,-44.6975576351624,0 -73.6315142284006,-45.1340592089175,0 -73.5606158411257,-45.3392611994886,0 -73.4217487520004,-45.3532626927585,0 -73.2800984617218,-45.282121204983,0 -73.1983114102855,-45.2818463543287,0 -73.0476279232811,-45.417940277279,0 -72.805098798216,-45.4583005029608,0</coordinates></LineString></MultiGeometry>",350 km,15-Jan,2015,Gtd Teleductos S.A.,http://www.telsur.com/
gemini-bermuda,1551,"[{""landing_point_id"":3686,""latlon"":""40.123330,-74.047053"",""name"":""Manasquan, New Jersey, United States""},{""landing_point_id"":5793,""latlon"":""32.312201,-64.769518"",""name"":""St. David’s, Bermuda""}]",Gemini Bermuda,#38bced,,,,"<MultiGeometry><LineString><coordinates>-74.0470901058777,40.1234902686849,0 -65.2875748268255,33.2766266761369,0 -64.8106708677938,32.2477527224801,0</coordinates></LineString></MultiGeometry>","1,287 km",7-Oct,2007,C&W Networks,http://www.cwc.com
germany-denmark-2,1200,"[{""landing_point_id"":5820,""latlon"":""54.576351,11.928980"",""name"":""Gedser, Denmark""},{""landing_point_id"":5842,""latlon"":""54.243343,12.431519"",""name"":""Ribnitz, Germany""}]",Germany-Denmark 2,#bd75b1,,,,"<MultiGeometry><LineString><coordinates>12.4314130850643,54.2436523472566,0 11.9400071831808,54.5772338673581,0</coordinates></LineString></MultiGeometry>",60 km,Dec-95,1995,TDC,
germany-denmark-3,1764,"[{""landing_point_id"":5820,""latlon"":""54.576351,11.928980"",""name"":""Gedser, Denmark""},{""landing_point_id"":14585,""latlon"":""54.191390,12.149488"",""name"":""Markgrafenheide, Germany""}]",Germany-Denmark 3,#f04230,,,,"<MultiGeometry><LineString><coordinates>11.9400071831808,54.5772338673581,0 12.1495773472193,54.1915768098668,0</coordinates></LineString></MultiGeometry>",n.a.,Mar-00,2000,TDC,
global-caribbean-network-gcn,1829,"[{""landing_point_id"":8834,""latlon"":""16.028908,-61.713953"",""name"":""Baillif, Guadeloupe""},{""landing_point_id"":8836,""latlon"":""16.242971,-61.554871"",""name"":""Jarry, Guadeloupe""},{""landing_point_id"":7876,""latlon"":""17.900099,-62.833386"",""name"":""Saint Barthelemy, Guadeloupe""},{""landing_point_id"":7875,""latlon"":""18.092774,-63.050086"",""name"":""Saint Martin, Guadeloupe""},{""landing_point_id"":4262,""latlon"":""18.465821,-66.106676"",""name"":""San Juan, Puerto Rico, United States""},{""landing_point_id"":5750,""latlon"":""17.771876,-64.819421"",""name"":""St. Croix, Virgin Islands, United States""}]",Global Caribbean Network (GCN),#b2703f,,,,"<MultiGeometry><LineString><coordinates>-64.8192646117059,17.7739101621269,0 -65.3096451236907,18.2269594124307,0 -65.7618908970656,18.5676881773195,0 -66.1066660434486,18.4661054185857,0</coordinates></LineString><LineString><coordinates>-64.8192646117059,17.7739101621269,0 -64.6402608322638,18.1350136921105,0 -64.1459252449558,18.2269594124307,0 -63.0500764118904,18.0928750705768,0 -62.8333773466521,17.9000596066192,0 -63.1640900029971,17.2606866510363,0 -61.88093661512,15.8809636241435,0 -61.7159464976256,16.0289409623534,0 -61.607792277368,15.8927983135497,0 -61.526395850655,15.9887650374269,0 -61.5548137992735,16.2430129536225,0</coordinates></LineString></MultiGeometry>",n.a.,6-Sep,2006,"Leucadia National Corporation,  Loret Group",http://www.globalcaribbean.net
globalconnect-2-gc2,1760,"[{""landing_point_id"":10605,""latlon"":""57.487482,12.076246"",""name"":""Kungsbacka, Sweden""},{""landing_point_id"":10606,""latlon"":""57.330842,10.516579"",""name"":""Saeby, Denmark""}]",GlobalConnect 2 (GC2),#f04230,,,,"<MultiGeometry><LineString><coordinates>10.5166683477374,57.3310462570752,0 10.8878594910321,57.5457758454737,0 11.6441089552979,57.5457758454737,0 12.0762375554239,57.4876912827877,0</coordinates></LineString></MultiGeometry>",95 km,1-Aug,2001,GlobalConnect,http://www.globalconnect.dk
globalconnect-3-gc3,1761,"[{""landing_point_id"":13465,""latlon"":""55.325764,11.149391"",""name"":""Korsor, Denmark""},{""landing_point_id"":13466,""latlon"":""55.324104,10.799489"",""name"":""Nybor, Denmark""}]",GlobalConnect 3 (GC3),#548f51,,,,"<MultiGeometry><LineString><coordinates>10.7995783035713,55.3244145383101,0 11.1493827432666,55.3260535081228,0</coordinates></LineString></MultiGeometry>",19 km,2006,2006,GlobalConnect,http://www.globalconnect.dk
go-1-mediterranean-cable-system,1581,"[{""landing_point_id"":3215,""latlon"":""37.650089,12.591285"",""name"":""Mazara del Vallo, Italy""},{""landing_point_id"":8561,""latlon"":""35.950481,14.415600"",""name"":""St. Paul's Bay, Malta""}]",GO-1 Mediterranean Cable System,#0982c5,,,,"<MultiGeometry><LineString><coordinates>12.5913739092465,37.6505844408328,0 12.5770184506661,36.8539991940486,0 13.7538730857212,36.0012421569065,0 14.4118804320826,35.9505841649514,0</coordinates></LineString></MultiGeometry>",290 km,8-Dec,2008,GO plc,https://www.go.com.mt/business
greece-western-europe-network-gwen,1383,"[{""landing_point_id"":3160,""latlon"":""41.125478,16.866673"",""name"":""Bari, Italy""},{""landing_point_id"":7730,""latlon"":""39.753799,19.923996"",""name"":""Kokkini, Greece""}]",Greece-Western Europe Network (GWEN),#bd75b1,,,,"<MultiGeometry><LineString><coordinates>16.868812285319,41.1257125894655,0 19.2179317149308,40.6538253776049,0 19.2179317149308,40.0339725591096,0 19.9239859022554,39.7540535614353,0 18.6973266149823,39.7540535614353,0 18.6973266149823,40.57153724534,0 16.868812285319,41.1257125894655,0</coordinates></LineString></MultiGeometry>",700 km,4-Jun,2004,OTEGLOBE,http://www.oteglobe.gr
greenland-connect,1569,"[{""landing_point_id"":8994,""latlon"":""63.642167,-20.142294"",""name"":""Landeyjar, Iceland""},{""landing_point_id"":8542,""latlon"":""48.207604,-53.960246"",""name"":""Milton, Newfoundland and Labrador, Canada""},{""landing_point_id"":8488,""latlon"":""64.181131,-51.729974"",""name"":""Nuuk, Greenland""},{""landing_point_id"":8543,""latlon"":""60.718926,-46.035396"",""name"":""Qaqortoq, Greenland""}]",Greenland Connect,#38bced,,,,"<MultiGeometry><LineString><coordinates>-53.965903159704,48.1863998052329,0 -53.0503764645217,48.2780228048509,0 -51.2917839603251,49.3380686934693,0 -51.7299672436619,64.1812197978778,0 -49.5671269789633,60.0943249108696,0 -43.5794847362902,59.4348371571668,0 -20.1418548553521,63.642367925537,0</coordinates></LineString><LineString><coordinates>-46.035391199628,60.7190297475548,0 -46.6032130630027,59.7736210534795,0</coordinates></LineString></MultiGeometry>","4,780 km",9-Mar,2009,TELE Greenland,http://www.tele.gl
guam-okinawa-kyushu-incheon-goki,1692,"[{""landing_point_id"":5895,""latlon"":""33.839251,131.032048"",""name"":""Kita-kyushu, Japan""},{""landing_point_id"":5886,""latlon"":""26.212399,127.680585"",""name"":""Okinawa, Japan""},{""landing_point_id"":5972,""latlon"":""13.513577,144.800499"",""name"":""Tumon Bay, Guam""}]",Guam Okinawa Kyushu Incheon (GOKI),#548f51,,,,"<MultiGeometry><LineString><coordinates>144.800362282409,13.5136833645816,0 127.114827936007,25.8140592203933,0 127.680843160037,33.5467737927779,0 129.701056572649,34.0331645773725,0 130.457208380734,34.0331645773725,0 131.031915004856,33.8395239333572,0</coordinates></LineString><LineString><coordinates>127.114827936007,25.8140592203933,0 127.680843160037,26.2124138463873,0</coordinates></LineString></MultiGeometry>","4,244 km",13-Dec,2013,AT&T,http://www.att.com
gulf2africa-g2a,1850,"[{""landing_point_id"":10093,""latlon"":""10.435063,45.010898"",""name"":""Berbera, Somalia""},{""landing_point_id"":16373,""latlon"":""11.275590,49.187947"",""name"":""Bosaso, Somalia""},{""landing_point_id"":5924,""latlon"":""17.095802,54.148101"",""name"":""Salalah, Oman""}]",Gulf2Africa (G2A),#b3b5b7,,,,"<MultiGeometry><LineString><coordinates>49.1879300151528,11.2755557107515,0 49.1879300151528,13.2061254275025,0</coordinates></LineString><LineString><coordinates>54.1480827513341,17.0958259919584,0 54.1480827513341,16.6173111431607,0 51.3552136360788,14.1368828098113,0 49.1879300151528,13.2061254275025,0 46.2641039614186,12.4196731911561,0 45.0108821929627,10.9264513746211,0 45.0108821929627,10.4351158293461,0</coordinates></LineString></MultiGeometry>","1,500 km",Q4 2016,2016,"Omantel,  Golis Telecommunications,  Telesom,  Ethio Telecom",
gulf-bridge-international-cable-system-gbicsmiddle-east-north-africa-mena-cable-system,1598,"[{""landing_point_id"":10232,""latlon"":""25.538572,51.451911"",""name"":""Al Daayen, Qatar""},{""landing_point_id"":10233,""latlon"":""26.241599,50.656208"",""name"":""Al Hidd, Bahrain""},{""landing_point_id"":7729,""latlon"":""26.286130,50.214216"",""name"":""Al Khobar, Saudi Arabia""},{""landing_point_id"":7646,""latlon"":""23.684666,58.176126"",""name"":""Al Seeb, Oman""},{""landing_point_id"":9596,""latlon"":""29.923335,48.531795"",""name"":""Al-Faw, Iraq""},{""landing_point_id"":9683,""latlon"":""28.970015,50.842731"",""name"":""Bushehr, Iran""},{""landing_point_id"":5962,""latlon"":""25.121677,56.333744"",""name"":""Fujairah, United Arab Emirates""},{""landing_point_id"":3871,""latlon"":""29.374019,47.974764"",""name"":""Kuwait City, Kuwait""},{""landing_point_id"":3212,""latlon"":""19.075782,72.875924"",""name"":""Mumbai, India""}]",Gulf Bridge International Cable System (GBICS)/Middle East North Africa (MENA) Cable System,#f4878f,,,,"<MultiGeometry><LineString><coordinates>49.3266017919164,29.0104998362535,0 49.1404691112746,28.8466520709174,0</coordinates></LineString><LineString><coordinates>56.3337257342541,25.121693117297,0 56.6970067269024,25.7458204492871,0 56.5044287383265,26.4870194046308,0 56.1305032219688,26.4870194046308,0 55.3114608334361,25.9889610098139,0 52.503357353973,26.0417933104937,0 51.4519909112708,25.5389306356431,0 52.0410529939737,26.4027294202647,0 51.7334360243925,26.6904941054604,0 50.7403703216395,27.6676270555036,0 49.1404691112746,28.8466520709174,0 47.9748449370137,29.3741013448043,0</coordinates></LineString><LineString><coordinates>56.3337257342541,25.121693117297,0 57.0989595671553,25.4228278203001,0 56.6290380250521,26.7573083930514,0 56.0961282463204,26.7573083930514,0 55.257456965443,26.2485925873152,0 53.8685907618288,26.2964048220678,0 49.3266017919164,29.0104998362535,0 48.531778136227,29.9236335994195,0</coordinates></LineString><LineString><coordinates>58.1762048977746,23.6848788194835,0 58.2405603209346,24.1068403317564,0</coordinates></LineString><LineString><coordinates>50.6561906937732,26.2415854778486,0 51.7334360243925,26.6904941054604,0</coordinates></LineString><LineString><coordinates>50.2141988193844,26.2853729777273,0 50.7403703216395,27.6676270555036,0</coordinates></LineString><LineString><coordinates>50.8427139991383,28.9703524704141,0 50.3802143267774,28.3869872713082,0</coordinates></LineString><LineString><coordinates>56.3337257342541,25.121693117297,0 58.2405603209346,24.1068403317564,0 60.0151684387855,23.1449553418408,0 69.1429940037983,21.2673698491664,0 72.8759015156215,19.0760738142769,0</coordinates></LineString></MultiGeometry>",n.a.,12-Feb,2012,"Gulf Bridge International,  MENA",http://www.gbiinc.com
hannibal-system,1621,"[{""landing_point_id"":6015,""latlon"":""36.849308,11.089918"",""name"":""Kelibia, Tunisia""},{""landing_point_id"":3215,""latlon"":""37.650089,12.591285"",""name"":""Mazara del Vallo, Italy""}]",HANNIBAL System,#ffd633,,,,"<MultiGeometry><LineString><coordinates>11.0908866909557,36.849935743637,0 11.6601245689523,36.4266307478934,0 12.5913739092465,37.6505844408328,0</coordinates></LineString></MultiGeometry>",178 km,9-Oct,2009,Tunisia Telecom,http://www.tunisietelecom.tn
hantru1-cable-system,1605,"[{""landing_point_id"":7879,""latlon"":""9.189751,167.424316"",""name"":""Kwajalein, Republic of Marshall Islands""},{""landing_point_id"":9060,""latlon"":""7.116217,171.185643"",""name"":""Majuro, Republic of Marshall Islands""},{""landing_point_id"":5973,""latlon"":""13.464652,144.694640"",""name"":""Piti, Guam""},{""landing_point_id"":9062,""latlon"":""7.786432,159.070219"",""name"":""Pohnpei, Federated States of Micronesia""}]",HANTRU1 Cable System,#6c70b5,,,,"<MultiGeometry><LineString><coordinates>159.081797477806,7.72805154480668,0 157.676720348176,10.8122294862927,0</coordinates></LineString><LineString><coordinates>164.799762177146,9.62301850633581,0 171.19624202082,7.077759911966,0</coordinates></LineString><LineString><coordinates>144.694698294762,13.464777824933,0 146.162275380117,12.7269658104139,0 167.405815018494,9.18648701308585,0</coordinates></LineString></MultiGeometry>","2,917 km",10-Mar,2010,"Hannon Armstrong,  Federated States of Micronesia Telecommunications Company,  Marshall Islands Telecommunications Authority",
hawaiki-cable,1733,"[{""landing_point_id"":16358,""latlon"":""21.335449,-158.056876"",""name"":""Kapolei, HI, United States""},{""landing_point_id"":16442,""latlon"":""-36.126145,174.574508"",""name"":""Mangawhai, New Zealand""},{""landing_point_id"":3730,""latlon"":""45.201941,-123.962654"",""name"":""Pacific City, OR, United States""},{""landing_point_id"":3030,""latlon"":""-33.869896,151.206941"",""name"":""Sydney, Australia""}]",Hawaiki Cable,#9ea0a2,,,,"<MultiGeometry><LineString><coordinates>-158.056893873795,21.3354262808963,0 -147.027800124408,41.390035337747,0 -139.250217743495,41.390035337747,0 -123.962533260935,45.2022344672203,0</coordinates></LineString><LineString><coordinates>-158.056893873795,21.3354262808963,0 -179.999895907291,-23.6559274822861,0</coordinates></LineString><LineString><coordinates>179.999946721693,-23.7469561372433,0 165.579253812447,-33.983322414006,0</coordinates></LineString><LineString><coordinates>174.574462283907,-36.1261519263881,0 174.738427011503,-35.1902011168915,0 173.096240674843,-33.9707701244135,0 151.822622932773,-34.0059118644333,0 151.206998368888,-33.8695553643754,0</coordinates></LineString></MultiGeometry>","10,200 km",Q1 2018,2018,Hawaiki Cable Company,http://hawaikicable.co.nz
hibernia-atlantic,1080,"[{""landing_point_id"":9038,""latlon"":""55.130745,-6.676187"",""name"":""Coleraine, United Kingdom""},{""landing_point_id"":3077,""latlon"":""53.348031,-6.248257"",""name"":""Dublin, Ireland""},{""landing_point_id"":3640,""latlon"":""44.645789,-63.573962"",""name"":""Halifax, Nova Scotia, Canada""},{""landing_point_id"":3683,""latlon"":""42.463661,-70.950277"",""name"":""Lynn, Massachusetts, United States""},{""landing_point_id"":3324,""latlon"":""53.647933,-3.006364"",""name"":""Southport, United Kingdom""}]",Hibernia Atlantic,#895c3c,,,,"<MultiGeometry><LineString><coordinates>-6.67619056643006,55.1309306834594,0 -6.05265585189789,55.3331641853935,0</coordinates></LineString><LineString><coordinates>-70.9634497122325,42.445223723708,0 -64.3338157368524,43.0081821754538,0 -63.572488151184,44.6532314837152,0 -60.3006642970997,43.6716503318132,0 -56.9968580437971,44.6202585963953,0 -10.5084144141467,59.2744791480372,0 -6.05265585189789,55.3331641853935,0 -4.83068406130417,54.177233091539,0 -4.95509803566816,53.9226227070048,0 -3.00636894741611,53.6479307129575,0 -6.24831001016966,53.3481255653311,0 -5.39298835046253,53.163863229736,0 -5.17135764809282,52.0346454828431,0 -7.88326978944879,50.9192526270457,0 -20.023739704651,49.4179576600241,0 -56.9968580437971,42.4599948416208,0 -63.572488151184,44.6532314837152,0</coordinates></LineString></MultiGeometry>","12,200 km",1-Apr,2001,Hibernia Networks,http://www.hibernianetworks.com
hibernia-express,1673,"[{""landing_point_id"":5736,""latlon"":""51.293735,-3.010905"",""name"":""Brean, United Kingdom""},{""landing_point_id"":3522,""latlon"":""51.898325,-8.472768"",""name"":""Cork, Ireland""},{""landing_point_id"":3640,""latlon"":""44.645789,-63.573962"",""name"":""Halifax, Nova Scotia, Canada""}]",Hibernia Express,#9ea0a2,,,,"<MultiGeometry><LineString><coordinates>-8.47272249687495,51.8986058541976,0 -8.32755658408685,51.6678254882355,0 -7.8532405138468,50.8188877466607,0</coordinates></LineString><LineString><coordinates>-3.01086113173381,51.2936449184817,0 -4.34406331228087,51.3974333232189,0 -7.8532405138468,50.8188877466607,0 -20.023739704651,48.755927433808,0 -56.9968580437971,41.7097757430777,0 -63.5758084613319,44.6461798491667,0</coordinates></LineString></MultiGeometry>","4,600 km",15-Sep,2015,Hibernia Networks,http://www.hibernianetworks.com
hics-hawaii-inter-island-cable-system,1455,"[{""landing_point_id"":8973,""latlon"":""20.039941,-155.831389"",""name"":""Kawaihae, Hawaii, United States""},{""landing_point_id"":7795,""latlon"":""20.782129,-156.463078"",""name"":""Kihei, Maui, HI, United States""},{""landing_point_id"":16118,""latlon"":""21.339746,-158.119474"",""name"":""Ko Olina, HI, United States""},{""landing_point_id"":16116,""latlon"":""21.277539,-157.695988"",""name"":""Koko Head, HI, United States""},{""landing_point_id"":4822,""latlon"":""21.974901,-159.368546"",""name"":""Lihue, HI, United States""}]",HICS (Hawaii Inter-Island Cable System),#f04230,,,,"<MultiGeometry><LineString><coordinates>-157.696005457576,21.2775621228443,0 -157.696005457576,21.1739685311776,0 -157.279892471105,21.0011209584723,0 -157.007334070438,21.0115138869727,0 -156.897275554654,21.0001180937466,0 -156.753574484578,20.8801816978443,0 -156.713095997629,20.7821549117556,0 -156.563193760071,20.6885410827844,0 -156.463096174731,20.7821549117556,0 -156.513193795491,20.6417581745871,0 -156.463096174731,20.5482406452332,0 -156.139024138681,20.3160742449231,0 -155.8314071691,20.0399869313702,0</coordinates></LineString><LineString><coordinates>-159.368562866471,21.9749433208738,0 -159.268465281131,21.8820877585706,0 -159.031746698825,21.4558123808088,0 -158.3435147645,21.2337849560087,0 -158.1194914857,21.3397015010228,0</coordinates></LineString></MultiGeometry>",479.081 km,Jul-94,1994,Hawaiian Telcom,
hifn-hawaii-island-fibre-network,1456,"[{""landing_point_id"":16121,""latlon"":""21.093359,-157.023869"",""name"":""Kaunakakai, HI, United States""},{""landing_point_id"":8973,""latlon"":""20.039941,-155.831389"",""name"":""Kawaihae, Hawaii, United States""},{""landing_point_id"":7795,""latlon"":""20.782129,-156.463078"",""name"":""Kihei, Maui, HI, United States""},{""landing_point_id"":16116,""latlon"":""21.277539,-157.695988"",""name"":""Koko Head, HI, United States""},{""landing_point_id"":4822,""latlon"":""21.974901,-159.368546"",""name"":""Lihue, HI, United States""},{""landing_point_id"":5760,""latlon"":""21.460253,-158.206046"",""name"":""Makaha, Hawaii, United States""},{""landing_point_id"":16122,""latlon"":""20.743457,-156.896867"",""name"":""Manele Bay, HI, United States""}]",HIFN (Hawaii Island Fibre Network),#f89635,,,,"<MultiGeometry><LineString><coordinates>-157.55220673132,20.7327522915314,0 -157.134189449322,20.9744059890664,0 -157.023886793086,21.0933556520546,0</coordinates></LineString><LineString><coordinates>-156.75972682397,20.6364576401105,0 -156.896884929931,20.7464514930853,0</coordinates></LineString><LineString><coordinates>-157.696005457576,21.2775621228443,0 -157.746005422156,21.1739685311776,0 -157.746005422156,20.89386750703,0 -157.55220673132,20.7327522915314,0 -157.34732406396,20.5623222186262,0 -156.896884929931,20.5623222186262,0 -156.75972682397,20.6364576401105,0 -156.463096174731,20.7821549117556,0 -156.502646927963,20.5176041713771,0 -156.173594426692,20.2821855141692,0 -155.8314071691,20.0399869313702,0</coordinates></LineString><LineString><coordinates>-159.368562866471,21.9749433208738,0 -159.179598156585,21.9246729513163,0 -158.961238936273,21.5315937495707,0 -158.456063512894,21.4602658542789,0 -158.206014861906,21.4605385114996,0</coordinates></LineString></MultiGeometry>",529 km,Jun-97,1997,"TW Telecom,  Hawaiian Telcom",
high-capacity-undersea-guernsey-optical-fibre-hugo,1697,"[{""landing_point_id"":5837,""latlon"":""48.730260,-3.459928"",""name"":""Lannion, France""},{""landing_point_id"":10373,""latlon"":""49.509556,-2.537614"",""name"":""Pembroke, United Kingdom""},{""landing_point_id"":3082,""latlon"":""50.043052,-5.654507"",""name"":""Porthcurno, United Kingdom""},{""landing_point_id"":10374,""latlon"":""49.423326,-2.558025"",""name"":""Saints Bay, United Kingdom""}]",High-capacity Undersea Guernsey Optical-fibre (HUGO),#0982c5,,,,"<MultiGeometry><LineString><coordinates>-2.53757045139237,49.509544233353,0 -5.65451160269701,49.9203845098755,0 -5.65451160269701,50.0431505710453,0</coordinates></LineString><LineString><coordinates>-2.55822473363567,49.4268508976282,0 -2.55822473363567,49.37400777496,0 -3.45988425114161,48.8734149332158,0 -3.45988425114161,48.7305546797012,0</coordinates></LineString></MultiGeometry>",425 km,2007,2007,Sure,
hokkaido-sakhalin-cable-system-hscs,1528,"[{""landing_point_id"":7834,""latlon"":""43.171180,141.315344"",""name"":""Ishikari, Japan""},{""landing_point_id"":8366,""latlon"":""46.684460,141.859094"",""name"":""Nevelsk, Russia""}]",Hokkaido-Sakhalin Cable System (HSCS),#91a34b,,,,"<MultiGeometry><LineString><coordinates>141.315403813686,43.1711767474143,0 140.589232453113,45.7041997306265,0 141.85934874085,46.6848512294999,0</coordinates></LineString></MultiGeometry>",570 km,8-Jul,2008,"NTT,  TTK",
i2i-cable-network-i2icn,1179,"[{""landing_point_id"":4191,""latlon"":""13.063480,80.243108"",""name"":""Chennai, India""},{""landing_point_id"":5938,""latlon"":""1.338193,103.647101"",""name"":""Tuas, Singapore""}]",i2i Cable Network (i2icn),#bd75b1,,,,"<MultiGeometry><LineString><coordinates>103.646094561478,1.33858304034115,0 103.50683684763,1.23128590101821,0</coordinates></LineString><LineString><coordinates>103.50683684763,1.23128590101821,0 103.03974733477,1.39784343893264,0 90.7741310238479,11.0393832853629,0 82.883316301275,11.7580231210991,0 80.2429861404597,13.0638540151191,0</coordinates></LineString></MultiGeometry>","3,200 km",2-Apr,2002,Airtel (Bharti),http://www.airtel.in
interchange-cable-network-1-icn1,1682,"[{""landing_point_id"":9086,""latlon"":""-17.730353,168.322753"",""name"":""Port Vila, Vanuatu""},{""landing_point_id"":4268,""latlon"":""-18.123810,178.437397"",""name"":""Suva, Fiji""}]",Interchange Cable Network 1 (ICN1),#b2703f,,,,"<MultiGeometry><LineString><coordinates>168.32300186875,-17.730504707427,0 178.426705648692,-18.1515606039927,0</coordinates></LineString></MultiGeometry>","1,238 km",14-Jan,2014,Interchange,http://www.interchange.vu
interchange-cable-network-2-icn2,1795,"[{""landing_point_id"":10892,""latlon"":""-9.430357,159.948343"",""name"":""Honiara, Solomon Islands""},{""landing_point_id"":16149,""latlon"":""-15.506428,167.200293"",""name"":""Luganville, Vanuatu""},{""landing_point_id"":3925,""latlon"":""-9.479576,147.188584"",""name"":""Port Moresby, Papua New Guinea""},{""landing_point_id"":9086,""latlon"":""-17.730353,168.322753"",""name"":""Port Vila, Vanuatu""}]",Interchange Cable Network 2 (ICN2),#9ea0a2,,,,"<MultiGeometry><LineString><coordinates>158.088536462692,-12.6747888142595,0 159.490195625993,-9.35267713272255,0 159.791269631459,-9.092028374532,0 159.848398497239,-9.14882066464301,0 159.948398426398,-9.4299476504978,0</coordinates></LineString><LineString><coordinates>166.666655385872,-16.1146449631168,0 167.200248757869,-15.5064345714954,0</coordinates></LineString><LineString><coordinates>168.32300186875,-17.730504707427,0 167.822709254412,-17.730504707427,0 166.666655385872,-16.1146449631168,0 153.850941808393,-10.9573543073033,0 147.317547999211,-10.9573543073033,0 147.188544184348,-9.47955738442194,0</coordinates></LineString></MultiGeometry>","3,000 km",2016,2016,Interchange,http://www.interchange.vu
ip-only-denmark-sweden,1765,"[{""landing_point_id"":11045,""latlon"":""55.647249,12.414917"",""name"":""Brondby, Denmark""},{""landing_point_id"":14586,""latlon"":""55.533284,12.916675"",""name"":""Klagshamn, Sweden""}]",IP-Only Denmark-Sweden,#91a34b,,,,"<MultiGeometry><LineString><coordinates>12.4150068466866,55.6475555844956,0 12.4679364966907,55.5237032295761,0 12.9166666475561,55.5335694312223,0</coordinates></LineString></MultiGeometry>",n.a.,1994,1994,IP-Only,
isles-of-scilly-cable,1826,"[{""landing_point_id"":15836,""latlon"":""49.919908,-6.308169"",""name"":""Porthcressa Beach, United Kingdom""},{""landing_point_id"":3082,""latlon"":""50.043052,-5.654507"",""name"":""Porthcurno, United Kingdom""}]",Isles of Scilly Cable,#895c3c,,,,"<MultiGeometry><LineString><coordinates>-6.30817324901198,49.9199129370188,0 -5.65451160269701,50.0431505710453,0</coordinates></LineString></MultiGeometry>",939 km,2014,2014,BT,
italy-greece-1,1299,"[{""landing_point_id"":6024,""latlon"":""39.619327,19.919504"",""name"":""Corfu, Greece""},{""landing_point_id"":6027,""latlon"":""40.148037,18.485715"",""name"":""Otranto, Italy""}]",Italy-Greece 1,#0982c5,,,,"<MultiGeometry><LineString><coordinates>18.4857056711466,40.1482027062611,0 18.4857056711466,39.6195333476856,0 19.9195913741185,39.6195333476856,0</coordinates></LineString></MultiGeometry>",161 km,1995,1995,WIS Telecom,
